title,lessons,rating,link
Convolutional Neural Networks (CNN) from Scratch,17 Lessons,,/courses/convolutional-neural-networks-cnn-from-scratch
Dimensionality Reduction for Machine Learning,23 Lessons,,/courses/dimensionality-reduction-for-machine-learning
K-Nearest Neighbors (KNN) Algorithm in Python and R,10 Lessons,,/courses/K-Nearest-Neighbors-KNN-Algorithm
Ensemble Learning and Ensemble Learning Techniques,37 Lessons,,/courses/ensemble-learning-and-ensemble-learning-techniques
Linear Programming for Data Science Professionals,20 Lessons,,/courses/linear-programming
Naive Bayes from Scratch,19 Lessons,,/courses/naive-bayes
Learn Swift for Data Science,21 Lessons,,/courses/learn-swift-for-data-science
Introduction to Web Scraping using Python,13 Lessons,,/courses/introduction-to-web-scraping
Tableau for Beginners,17 Lessons,,/courses/tableau-for-beginners
Getting Started with Neural Networks,45 Lessons,,/courses/getting-started-with-neural-networks
Introduction to AI & ML,17 Lessons,,/courses/introduction-to-ai-ml
Winning Data Science Hackathons - Learn from Elite Data Scientists,7 Lessons,,/courses/winning-data-science-hackathons-learn-from-elite-data-scientists
Hypothesis Testing for Data Science and Analytics,19 Lessons,,/courses/hypothesis-testing-for-data-science-and-analytics
